web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4-src
"1732818650-13","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","https://www.dakarvente.com/annonce-849-terrains-de-150-m2-almadies-2-zac-mbao-cot-d-page.html","Terrains de 150 m2 Almadies 2 (Zac mbao à coté d péage)","1.000.000  FCFA","Rufisque","media/annonces/pics/8e5b8576ae2e23d82b805faa59f4dbe0.jpg"
"1732818664-14","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Vends terrain 150m2 à Bambilor","https://www.dakarvente.com/annonce-978-vends-terrain-150m2-bambilor.html","Vends terrain 150m2 à Bambilor","2.500.000  FCFA","Plateau","media/annonces/pics/44b400221f2aa271dc46ad95b8b6c1ec.jpg"
"1732818669-15","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","DES TERRAINS A VENDRE","https://www.dakarvente.com/annonce-982-des-terrains-a-vendre.html","DES TERRAINS A VENDRE","10.000  FCFA","Plateau","media/annonces/pics/a5276af01a98c4f0c6bc98e049222486.jpg"
"1732818677-16","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Diass Aeroport ( Thicky ) Terrains A Vendre","https://www.dakarvente.com/annonce-996-diass-aeroport-thicky-terrains-a-vendre.html","Diass Aeroport ( Thicky ) Terrains A Vendre","1.500.000  FCFA","Plateau","media/annonces/pics/30a15a4fd0a31376d5c8fbf176bbb5cc.jpg"
"1732818685-17","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Diamniadio Lot de Terrains A Vendre","https://www.dakarvente.com/annonce-998-diamniadio-lot-de-terrains-a-vendre.html","Diamniadio Lot de Terrains A Vendre","4.000.000  FCFA","Plateau","media/annonces/pics/f346db2c86343ec77b13ec7c9d50f463.jpg"
"1732818690-18","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Diass Aeroport ( Landou ) Terrains A Vendre","https://www.dakarvente.com/annonce-1000-diass-aeroport-landou-terrains-a-vendre.html","Diass Aeroport ( Landou ) Terrains A Vendre","3.500.000  FCFA","Plateau","media/annonces/pics/a9bde55998db8f58c310b1fe9de2bca0.jpg"
"1732818698-19","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Rufisque Terrain 190m² A Vendre","https://www.dakarvente.com/annonce-1001-rufisque-terrain-190m-a-vendre.html","Rufisque Terrain 190m² A Vendre","9.000.000  FCFA","Plateau","media/annonces/pics/152cc6d29e27d9c8d5143f37d449ae92.jpg"
"1732818710-20","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Promotion Magal Touba 2018 Terrains A Vendre","https://www.dakarvente.com/annonce-1054-promotion-magal-touba-2018-terrains-a-vendre.html","Promotion Magal Touba 2018 Terrains A Vendre","1.700.000  FCFA","Plateau","media/annonces/pics/3729c744633f5cee4445e857192a5d64.jpg"
"1732818715-21","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Ndayane Terrain 400m² Vue Mer A Vendre","https://www.dakarvente.com/annonce-1055-ndayane-terrain-400m-vue-mer-a-vendre.html","Ndayane Terrain 400m² Vue Mer A Vendre","12.000.000  FCFA","Mbour","media/annonces/pics/7afc301df1861a5e4050c5915dcaf863.jpg"
"1732818721-22","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Promotion Terrain Diass Aéroport","https://www.dakarvente.com/annonce-1058-promotion-terrain-diass-aroport.html","Promotion Terrain Diass Aéroport","1.500.000  FCFA","Plateau","media/annonces/pics/19c11d5cb36c74b29aa8a24ae77ae30c.jpg"
"1732818725-23","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Almadie Lot de Terrains A Vendre","https://www.dakarvente.com/annonce-1066-almadie-lot-de-terrains-a-vendre.html","Almadie Lot de Terrains A Vendre","60.000.000  FCFA","Plateau","media/annonces/pics/0dbc45e67a318685abf1abfa33099979.jpg"
"1732818729-24","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Yeumbeule Terrains A Vendre","https://www.dakarvente.com/annonce-1067-yeumbeule-terrains-a-vendre.html","Yeumbeule Terrains A Vendre","9.500.000  FCFA","Plateau","media/annonces/pics/fc3e0a8b1404240f1f620c47730d48c1.jpg"
"1732818733-25","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Promotion Terrains Magal Touba 2018","https://www.dakarvente.com/annonce-1068-promotion-terrains-magal-touba-2018.html","Promotion Terrains Magal Touba 2018","1.700.000  FCFA","Plateau",""
"1732818738-26","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Urgence Terrains 100 parcelles à Tivaoune Peulh coté VDN","https://www.dakarvente.com/annonce-851-urgence-terrains-100-parcelles-tivaoune-peulh-cot-vdn.html","Urgence Terrains 100 parcelles à Tivaoune Peulh coté VDN","2.700.000  FCFA","Plateau","media/annonces/pics/b0a1c0857376a0c9e55b61f8a9fc44b4.jpg"
"1732818743-27","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains TF à Bambilor","https://www.dakarvente.com/annonce-850-terrains-tf-bambilor.html","Terrains TF à Bambilor","15.000  FCFA","Plateau","media/annonces/pics/373942b95fa63b4d2ecda0e2dc42d29d.jpg"
"1732818747-28","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","terrain a vendre","https://www.dakarvente.com/annonce-1252-terrain-a-vendre.html","terrain a vendre","1.500.000  FCFA","Rufisque","img/nophoto.png"
"1732818764-29","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","VENTE DE TERRAIN","https://www.dakarvente.com/annonce-1278-vente-de-terrain.html","VENTE DE TERRAIN","200.000.000  FCFA","Mbour","img/nophoto.png"
"1732818770-30","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAINS A VENDRE A NDIAKHIRATE","https://www.dakarvente.com/annonce-1404-terrains-a-vendre-a-ndiakhirate.html","TERRAINS A VENDRE A NDIAKHIRATE","1.500.000  FCFA","Rufisque","media/annonces/pics/df607f7d098d0642cb842910d0a1f5cd.jpg"
"1732818775-31","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","terrain a vendre","https://www.dakarvente.com/annonce-1433-terrain-a-vendre.html","terrain a vendre","25.000.000  FCFA","Plateau","img/nophoto.png"
"1732818782-32","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains à Tivaoune Peulh près de la plage","https://www.dakarvente.com/annonce-1500-terrains-tivaoune-peulh-prs-de-la-plage.html","Terrains à Tivaoune Peulh près de la plage","3.600.000  FCFA","Plateau","media/annonces/pics/c6db2b674784b97687a5c0ac47ef10d5.jpg"
"1732818790-33","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains à Diakhaye cité Safco","https://www.dakarvente.com/annonce-1501-terrains-diakhaye-cit-safco.html","Terrains à Diakhaye cité Safco","4.500.000  FCFA","Plateau","media/annonces/pics/6934b29a51b9cfedc71bec840d022019.jpg"
"1732818794-34","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Vente de terrain à Diamniadio","https://www.dakarvente.com/annonce-1522-vente-de-terrain-diamniadio.html","Vente de terrain à Diamniadio","","Plateau","media/annonces/pics/b2e25eb7aa568d1d901edbf4b21d56d9.jpg"
"1732818799-35","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrain","https://www.dakarvente.com/annonce-1526-terrain.html","Terrain","4.000.000  FCFA","Plateau","media/annonces/pics/c64ef8624d4169739f90686d72bc6028.jpg"
"1732818807-36","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains Bambilor, Kounoune, Sendou, Keur Moussa","https://www.dakarvente.com/annonce-1910-terrains-bambilor-kounoune-sendou-keur-moussa.html","Terrains Bambilor, Kounoune, Sendou, Keur Moussa","2.700.000  FCFA","Plateau","media/annonces/pics/ec2b74c49d769885aab16c0d67cd63da.jpg"
"1732818811-37","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Ouakam - terrain","https://www.dakarvente.com/annonce-2113-ouakam-terrain.html","Ouakam - terrain","35.000.000  FCFA","Plateau","media/annonces/pics/d64c52cd2772759682972efd6d329f91.jpg"
"1732818815-38","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Verger de 1 hectar a vendre à bayakhe","https://www.dakarvente.com/annonce-2227-verger-de-1-hectar-a-vendre-bayakhe.html","Verger de 1 hectar a vendre à bayakhe","30.000.000  FCFA","Mbour","media/annonces/pics/fcc00d4635f53c5c90141440ab48ba19.jpg"
"1732818818-39","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","https://www.dakarvente.com/annonce-2379-terrains-225m2-yenn-vue-sur-mer-et-aroport-aibd.html","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","1.300.000  FCFA","Rufisque",""
"1732818825-40","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","TERRAIN 150m2 TITRE FONCIER KOUNOUNE","https://www.dakarvente.com/annonce-2381-terrain-150m2-titre-foncier-kounoune.html","TERRAIN 150m2  TITRE FONCIER KOUNOUNE","7.500.000  FCFA","Rufisque","media/annonces/pics/9b015b13ef9450fbb0b31ad1c8814d75.png"
"1732818830-41","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","https://www.dakarvente.com/annonce-2490-terrains-225m2-yenn-vue-sur-mer-et-aroport-aibd.html","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","1.300.000  FCFA","Diamniadio","media/annonces/pics/7370b933bdaaf27fe3f730fd71ae539c.jpg"
"1732818834-42","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","A Bazarder VILLA Neuve  à Tivaoune Peulh","https://www.dakarvente.com/annonce-2492-a-bazarder-villa-neuve-tivaoune-peulh.html","A Bazarder VILLA Neuve  à Tivaoune Peulh","1.300.000  FCFA","Khar Yalla","media/annonces/pics/7a0f03034e25a9520d567457ef7d2b53.jpg"
"1732818838-43","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","https://www.dakarvente.com/annonce-2491-terrains-225m2-yenn-vue-sur-mer-et-aroport-aibd.html","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","1.300.000  FCFA","Diamniadio","media/annonces/pics/807f13a7f74a6fac478ddb345cf90b0f.jpg"
"1732818843-44","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","WANTERR TERRAINS 225m2 à YENN vue sur mer et AIBD","https://www.dakarvente.com/annonce-2634-wanterr-terrains-225m2-yenn-vue-sur-mer-et-aibd.html","WANTERR TERRAINS 225m2 à YENN vue sur mer et AIBD","1.200.000  FCFA","Rufisque","media/annonces/pics/6d2283477fe431a53d9380f353ae3f8d.jpg"
"1732818855-45","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Bourguiba","https://www.dakarvente.com/annonce-2856-a-vendre-un-terrain-bourguiba.html","A vendre un terrain à Bourguiba","750.000.000  FCFA","Biscuiterie","media/annonces/pics/d8c893486cf43a9df2760aaa40b83644.jpg"
"1732818858-46","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain au cap manuel","https://www.dakarvente.com/annonce-2864-a-vendre-un-terrain-au-cap-manuel.html","A vendre un terrain au cap manuel","1.500.000  FCFA","Plateau","media/annonces/pics/e5dd931b31c4992efb24ac290425d51c.jpg"
"1732818864-47","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Fann résidence","https://www.dakarvente.com/annonce-2884-a-vendre-un-terrain-fann-rsidence.html","A vendre un terrain à Fann résidence","","Fann","media/annonces/pics/4d993f64ecb526e390c9c8bc49340dd8.jpg"
"1732818870-48","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Keur Gorgui","https://www.dakarvente.com/annonce-2932-a-vendre-un-terrain-keur-gorgui.html","A vendre un terrain à Keur Gorgui","185.000.000  FCFA","Cité Keur Gorgui","media/annonces/pics/41531948df928123d75b9d63e641dc85.jpg"
"1732818875-49","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain 10Ha agricole à vendre à Saint Louis","https://www.dakarvente.com/annonce-2940-terrain-10ha-agricole-vendre-saint-louis.html","Terrain 10Ha agricole à vendre à Saint Louis","15.000.000  FCFA","Saint Louis","media/annonces/pics/220fbd98cbbbc75ed7c34f397794bd86.jpg"
"1732818890-50","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à Saly","https://www.dakarvente.com/annonce-3421-terrain-saly.html","Terrain à  Saly","60.000.000  FCFA","Saly","media/annonces/pics/b719797ffe1c6a49aae81f07460a24a9.png"
"1732818901-51","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à Guereo","https://www.dakarvente.com/annonce-3422-terrain-guereo.html","Terrain à Guereo","6.000.000  FCFA","Mbour","media/annonces/pics/260c1b4a80256ae5f0f48780f0e252a7.png"
"1732818911-52","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain en vendre","https://www.dakarvente.com/annonce-3436-terrain-en-vendre.html","Terrain en vendre","6.500  FCFA","Thiès","media/annonces/pics/a2f55978ca025e99b4b8b558c13980ce.jpg"
"1732818916-53","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","8 terrains a kirene commune de diass","https://www.dakarvente.com/annonce-3483-8-terrains-a-kirene-commune-de-diass.html","8 terrains a kirene commune de diass","1.500.000  FCFA","Thiès","media/annonces/pics/8ec9eaf924a7b57c7a874ff19c153fe7.jpg"
"1732818920-54","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","150 hectares a diamgnadio","https://www.dakarvente.com/annonce-3531-150-hectares-a-diamgnadio.html","150 hectares a diamgnadio","25.000  FCFA","Diamniadio","media/annonces/pics/1d63b6fd35e3cb46cd43e1839c4d3123.jpg"
"1732818927-55","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain de 300 m² a sebikotane","https://www.dakarvente.com/annonce-3562-terrain-de-300-m-a-sebikotane.html","Terrain de 300 m² a sebikotane","6.000.000  FCFA","Sébikotane","media/annonces/pics/bb876865d402b9a41149b91e01b44f9b.jpg"
"1732818933-56","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","4000 parcelles de 150 m²","https://www.dakarvente.com/annonce-3568-4000-parcelles-de-150-m.html","4000 parcelles de 150 m²","2.500.000  FCFA","Thiès","media/annonces/pics/98134ed22820f53deadd251379d679f9.jpg"
"1732818942-57","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","terrain titre foncier","https://www.dakarvente.com/annonce-3761-terrain-titre-foncier.html","terrain titre foncier","105.000.000  FCFA","Sicap liberté","img/nophoto.png"
"1732818947-58","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains TF à vendre à Keur Massar payables en tranches","https://www.dakarvente.com/annonce-3566-terrains-tf-vendre-keur-massar-payables-en-tranches.html","Terrains TF à vendre à Keur Massar payables en tranches","6.500.000  FCFA","Keur Massar","media/annonces/pics/fcb7c671d375d746e0d78b476db5bdbe.jpg"
"1732818950-59","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Vente Terrains 300 m2","https://www.dakarvente.com/annonce-3788-vente-terrains-300-m2-somone.html","Vente Terrains 300 m2","12.000.000  FCFA","Somone","media/annonces/pics/0e5564c83a86ed8036fb56bcc42f3dba.jpg"
"1732818956-60","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Zac Mbao","https://www.dakarvente.com/annonce-3840-a-vendre-un-terrain-zac-mbao.html","A vendre un terrain à Zac Mbao","250.000.000  FCFA","Rufisque",""
"1732818959-61","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre des terrains à Rufisque","https://www.dakarvente.com/annonce-3854-a-vendre-des-terrains-rufisque.html","A vendre des terrains à Rufisque","","Rufisque","media/annonces/pics/ade227d35358b7959e3409b7a7dbbb70.jpg"
"1732818971-62","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains à Bambilor","https://www.dakarvente.com/annonce-3857-terrain-en-vendre.html","Terrains à Bambilor","2.000.000  FCFA","Rufisque","media/annonces/pics/89942c8f711740fd2699425b65375b29.jpg"
"1732818974-63","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains à vendre à Diass","https://www.dakarvente.com/annonce-3861-terrains-a-vendre-a-diass.html","Terrains à vendre à Diass","","Thiès","media/annonces/pics/66850914bda8211516c875409c2a6dc2.jpg"
"1732818979-64","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Rufisque","https://www.dakarvente.com/annonce-3868-a-vendre-un-terrain-rufisque.html","A vendre un terrain à Rufisque","","Rufisque","media/annonces/pics/ea52ef0ae512696f4d8ab71d9143f68f.jpg"
"1732818982-65","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Rufisque","https://www.dakarvente.com/annonce-3881-a-vendre-un-terrain-rufisque.html","A vendre un terrain à Rufisque","45.000  FCFA","Rufisque","media/annonces/pics/852eab5028c7dd038d78f3501a442477.jpg"
"1732818986-66","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain en vendre","https://www.dakarvente.com/annonce-3883-terrain-en-vendre.html","Terrain en vendre","600.000  FCFA","HLM",""
"1732818992-67","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain sur le prolongement de VDN","https://www.dakarvente.com/annonce-3913-a-vendre-un-terrain-sur-le-prolongement-de-vdn.html","A vendre un terrain sur le prolongement de VDN","85.000  FCFA","Cambérène","media/annonces/pics/22beb991d2cd0c9928fc9bf1f7f292e3.jpg"
"1732818997-68","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain a vendre","https://www.dakarvente.com/annonce-3925-terrain-a-vendre.html","Terrain a vendre","7.500.000  FCFA","Rufisque","media/annonces/pics/783df98140cadd7c65ffa7f0d26af90e.jpeg"
"1732819002-69","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à céder à Cap skirring","https://www.dakarvente.com/annonce-4031-terrain-cder-cap-skirring.html","Terrain à céder à Cap skirring","4.000.000  FCFA","Ziguinchor","media/annonces/pics/d7ba54dbcca98f2ef3adfc3f574de6fb.jpg"
"1732819007-70","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à vendre","https://www.dakarvente.com/annonce-4044-terrain-a-vendre.html","Terrain à vendre","9.500.000  FCFA","Keur Massar","media/annonces/pics/5626c24fc53f357db9ca6eacee0973e5.jpeg"
"1732819011-71","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre une villa à démolir au Point E","https://www.dakarvente.com/annonce-4105-a-vendre-une-villa-dmolir-au-point-e.html","A vendre une villa à démolir au Point E","","Point E","media/annonces/pics/707d016ea367cb7fc37734bff7782244.jpg"
"1732819014-72","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Des terrain a vendre","https://www.dakarvente.com/annonce-4117-des-terrain-a-vendre.html","Des terrain a vendre","1.000.000  FCFA","Rufisque","media/annonces/pics/a4651978aa585beb03153ace1d0e17f3.jpeg"
"1732819018-73","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à vendre à la cité sipres","https://www.dakarvente.com/annonce-4118-terrain-a-vendre.html","Terrain à vendre à la cité sipres","18.000.000  FCFA","Rufisque","media/annonces/pics/7f5c1141fc4c77d22dc1b1164db9ba52.jpeg"
"1732819021-74","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à vendre","https://www.dakarvente.com/annonce-4158-terrain-a-vendre.html","Terrain à vendre","14.000.000  FCFA","Rufisque","media/annonces/pics/e0c111dd056cd936e722b14af12b258a.jpg"
"1732819027-75","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Niague","https://www.dakarvente.com/annonce-4162-a-vendre-un-terrain-niague.html","A vendre un terrain à Niague","29.000  FCFA","Rufisque","media/annonces/pics/da63a4c432725f9b7dbca572d289f48e.jpg"
"1732819031-76","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain Fann Résidence Pied dans l'eau","https://www.dakarvente.com/annonce-4284-terrain-fann-rsidence-pied-dans-l-eau.html","Terrain Fann Résidence Pied dans l'eau","1.300.000  FCFA","Fann","media/annonces/pics/068a81a5a781064958139238a1b480cc.jpg"
"1732819037-77","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","100 hectares a mbambilor","https://www.dakarvente.com/annonce-4453-100-hectares-a-mbambilor.html","100 hectares a mbambilor","15.000  FCFA","Rufisque","media/annonces/pics/d19180d2b63d3fc78ab7f29bef645c81.jpg"
"1732819042-78","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain de 367m² a cité keur Gorgui","https://www.dakarvente.com/annonce-4455-terrain-de-367m-a-cit-keur-gorgui.html","Terrain de 367m² a cité keur Gorgui","180.000.000  FCFA","VDN","media/annonces/pics/c8f9b9ce06748cea65385c1af620527d.jpg"
"1732819046-79","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à Diamniadio","https://www.dakarvente.com/annonce-4504-terrain-diamniadio.html","Terrain à Diamniadio","3.500.000  FCFA","Diamniadio","img/nophoto.png"
"1732819051-80","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à vendre","https://www.dakarvente.com/annonce-4508-terrain-vendre.html","Terrain à vendre","2.900.000  FCFA","Mbour","media/annonces/pics/8ffd33a2d4a41393ec7edd4f3c88a47c.jpg"
"1732819054-81","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain kounoune","https://www.dakarvente.com/annonce-4601-terrain-kounoune.html","Terrain kounoune","65.000.000  FCFA","Rufisque",""
"1732819059-82","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain a vendre","https://www.dakarvente.com/annonce-4620-terrain-a-vendre.html","Terrain a vendre","4.000.000  FCFA","Lac rose","media/annonces/pics/b29a80be9fe28b78d00567a95947b1ab.jpeg"
"1732819067-83","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Verger en vente sur Nianing, Mbour","https://www.dakarvente.com/annonce-4627-verger-en-vente-sur-nianing-mbour.html","Verger en vente sur Nianing, Mbour","9.000.000  FCFA","Mbour","media/annonces/pics/bbf0baded709fe8019fcc395fb979fd3.jpg"
"1732819079-84","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Vente Terrains 150 - Keur Massar","https://www.dakarvente.com/annonce-4765-vente-terrains-150-keur-massar.html","Vente Terrains 150 - Keur Massar","5.000.000  FCFA","Keur Massar","media/annonces/pics/b9ddb3ce2307b1a57d4da290d99540d8.jpg"
"1732819082-85","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","A vendre un terrain à Keur Gorgui","https://www.dakarvente.com/annonce-4861-a-vendre-un-terrain-keur-gorgui.html","A vendre un terrain à Keur Gorgui","128.800.000  FCFA","Cité Keur Gorgui","media/annonces/pics/8d54fa9f8fc327195f8515467ac0c6c9.jpg"
