web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4-src
"1732794099-27","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-11091-immobilier.html","immobilier","80.000.000  FCFA","Hann Bel-Air","media/annonces/pics/7f8f595bbf53c8059284bf0b749f946d.jpeg"
"1732794103-28","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-12121-immobilier.html","Programme résidentiel","58.000.000  FCFA","Sicap Foire","media/annonces/pics/287e8148aac3c8f0bedb13af67f105a5.jpeg"
"1732794107-29","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-12474-conception-des-plans-architecturaux.html","Conception des plans architecturaux","1.000.000  FCFA","Cambérène","media/annonces/pics/76f92caf00408f23554ba147becc8450.jpg"
"1732794112-30","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-12965-vente-de-villa.html","Villa à vendre","450.000.000  FCFA","Point E","media/annonces/pics/057b87598d3d94d124898dcc82d1b61d.jpg"
"1732794117-31","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13118-appartement-vendre-au-point-e.html","Appartement à vendre au Point E","140.000.000  FCFA","Point E","media/annonces/pics/3615b4f5e6e3b4089274ed065152d88e.jpg"
"1732794123-32","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13149-appartement-vendre-amiti-2.html","Appartement à vendre à Amitié 2","125.000.000  FCFA","Amitié","media/annonces/pics/9e344f0304ce19b95d81c3ec3f259468.jpg"
"1732794127-33","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13150-studio-meubl-cite-keur-gorgui.html","Studio meublé  Cite Keur Gorgui","30.000  FCFA","Cité Keur Gorgui","media/annonces/pics/2a487e483f596f5d14d77ba1090dae6c.jpeg"
"1732794131-34","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13409-vente-villa-amiti-2.html","Vente villa - Amitié 2","125.000.000  FCFA","Amitié","media/annonces/pics/2a6a60acae90f5851b90edc7baea5ec1.jpg"
"1732794135-35","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13575-villa-vendre-amiti-2.html","Villa à vendre-Amitié 2","125.000.000  FCFA","Amitié","media/annonces/pics/85270c0f5578158141ce426a937fc7a2.jpg"
"1732794139-36","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13710-ssd-solution.html","ssd solution","120  FCFA","Dakar","media/annonces/pics/f735e9642933a548fb0aff16dc87c7f2.jpg"
"1732794143-37","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13739-appartement-vendre-amiti-2.html","Appartement à vendre à Amitié 2","125.000.000  FCFA","Amitié",""
"1732794146-38","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-13847-appartement-vendre-amiti-2.html","Appartement à vendre-Amitié 2","125.000.000  FCFA","Amitié","media/annonces/pics/ea15a43e98cbed640407e14239febc21.jpg"
"1732794149-39","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-14524-joli-appartement-a-vendre-a-promocap.html","JOLI APPARTEMENT A VENDRE A  PROMOCAP","55.000.000  FCFA","Rufisque","media/annonces/pics/f429474bd6e5a71c2819332936ce7dbd.jpeg"
"1732794154-40","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-14847-appartement-meubl-louer-libert-6.html","Appartement  meublé à louer à Liberté 6","45.000  FCFA","Liberté 6","media/annonces/pics/2acb8cfa6ded98aeb89244dc9de9dcdd.jpg"
"1732794159-41","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-15857-appartements-studdios-chambres-meubls-a-louer.html","appartements studdios chambres meublés   a louer","15.000  FCFA","Dakar","media/annonces/pics/e7bf1755652ce018ea33f15f89850fb2.jpg"
"1732794164-42","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-18098-appartement-meuble-a-vendre-a-la-cite-aliou-sow-de-guediawaye.html","APPARTEMENT MEUBLE A VENDRE A LA CITE ALIOU SOW DE GUEDIAWAYE","35.000.000  FCFA","Guédiawaye","media/annonces/pics/2f6b6e13f9e584a5a73b14e2c279b5bd.jpg"
"1732794168-43","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-18872-appartement-vendre-au-point-e.html","Appartement à vendre au point E","175.000.000  FCFA","Dakar","media/annonces/pics/354aa17284c2c1908ebddfc2471be56e.jpg"
"1732794172-44","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-19094-appartement-vendre-au-point-e.html","Appartement à vendre au point E","175.000.000  FCFA","Dakar","media/annonces/pics/bbb92518896649339812d644bb732bf9.jpg"
"1732794176-45","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-19339-appartement-vendre-amiti-2.html","Appartement à vendre à Amitié 2","125.000.000  FCFA","Dakar","media/annonces/pics/1288411f3ecec1974709e2ac6bd1ab24.jpg"
"1732794181-46","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-19849-appartement-de-standing-2-chambres-salon.html","Appartement de standing 2 chambres salon","30.000.000  FCFA","Fass","media/annonces/pics/96e2e78b263137eb32ff71011807433f.jpg"
"1732794185-47","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-20337-appartement-a-vendre-aux-mamelles.html","APPARTEMENT A VENDRE AUX MAMELLES","100.000.000  FCFA","Dakar","media/annonces/pics/b88d59d3a07ade977bba50cf4b3d158d.jpg"
"1732794189-48","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-21141-immeuble-en-vente-saly.html","Immeuble en vente à Saly","210.000.000  FCFA","Saly","media/annonces/pics/9a714a88c155876dbc2834f4348652da.jpg"
"1732794193-49","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-22500-apparetement-a-louer-a-sicap-foire.html","APPARETEMENT A LOUER A SICAP FOIRE","200.000  FCFA","Sicap Foire","media/annonces/pics/40e8b33bbed5a8b23ae90247d1c51d94.jpg"
"1732794198-50","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-22575-appartement-a-vendre-a-sacre-coeur-1.html","APPARTEMENT A VENDRE A SACRE COEUR 1","110.000.000  FCFA","Point E","media/annonces/pics/cfa17c77f74f51dee96dddf821e910d7.jpg"
"1732794202-51","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-22752-appartement-a-vendre-a-virage.html","APPARTEMENT A VENDRE A VIRAGE","116.000.000  FCFA","Virage","media/annonces/pics/0300eca40fb79e2c768098d073940cd5.jpg"
"1732794209-52","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-23279-duplex-a-louer.html","DUPLEX A LOUER","700.000  FCFA","Ouakam","media/annonces/pics/e3f9959a7fcf88e933319b795a4c15da.jpg"
"1732794215-53","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-23537-appartement-vendre.html","Appartement à vendre","150.000.000  FCFA","Plateau","media/annonces/pics/c7fb8f2b1cc4aa153c71bcd741d14311.jpg"
"1732794219-54","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-23596-appartement-vendre-mermoz.html","APPARTEMENT À VENDRE À MERMOZ","85.000.000  FCFA","Sacré Coeur","media/annonces/pics/a5f8c056889860810f6f36b940e3fc91.jpg"
"1732794228-55","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-24017-vente-appartement-neuf-type-f4-au-virage.html","VENTE APPARTEMENT NEUF TYPE F4 AU VIRAGE","190.000.000  FCFA","Virage","media/annonces/pics/cb0d960cded63080082be5d94869eb54.jpg"
"1732794231-56","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-24113-appartement-a-vendre.html","APPARTEMENT A VENDRE","180.000.000  FCFA","Point E","media/annonces/pics/0018d32f06b4eb1302eaaf58d0851daa.jpg"
"1732794235-57","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-24452-immeuble-a-vendre.html","IMMEUBLE A VENDRE","800.000.000  FCFA","Cité Keur Gorgui","media/annonces/pics/45a7b592105a8cb576a2c755a074b457.jpg"
"1732794238-58","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-24738-appartement-vendre-ngor.html","APPARTEMENT À VENDRE À NGOR","110.000.000  FCFA","Ngor","media/annonces/pics/bf074c852902e9e0b7a48c31a99ac421.jpg"
"1732794242-59","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-24747-appartement-a-vendre-aux-almadies.html","APPARTEMENT A VENDRE AUX ALMADIES","340.000.000  FCFA","Point E","media/annonces/pics/c555bcbc0130ed7d94bcec6fcc2749fc.jpg"
"1732794245-60","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-24924-appartement-a-vendre-a-la-vdn.html","APPARTEMENT A VENDRE A LA VDN","55.000.000  FCFA","VDN","media/annonces/pics/0d2c47015508aecae024ca4732e561e5.jpg"
"1732794250-61","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-24980-appartement-vendre-yoff-virage.html","APPARTEMENT  À VENDRE À  YOFF VIRAGE","130.000.000  FCFA","Yoff","media/annonces/pics/700a0a1c6653c4335759b2a064b21c5e.jpg"
"1732794254-62","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-25053-appartement-de-76m2-vendre-la-cit-mixta.html","Appartement de 76m2 à vendre à la  Cité Mixta","40.000.000  FCFA","Nord Foire","media/annonces/pics/b2955aeace0f89771f50a58f1799d619.jpeg"
"1732794259-63","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=5","","https://www.dakarvente.com/annonce-25493-villa-a-vendre-aux-mamelles.html","VILLA  A VENDRE AUX MAMELLES","600.000.000  FCFA","Point E","media/annonces/pics/9b2e953792e83e530b923d5d9b7430e8.jpg"
"1732794274-64","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-25751-appartement-f4-neuf-bazarder-la-cit-mixta.html","APPARTEMENT F4 NEUF À BAZARDER  À LA CITÉ MIXTA","50.000.000  FCFA","Sud Foire","media/annonces/pics/f5c5cd380cff699b487713afe85abfbc.jpg"
"1732794279-65","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-26409-appartement-f4-haut-standing.html","APPARTEMENT F4 HAUT STANDING","135.000.000  FCFA","Nord Foire","media/annonces/pics/2a477ec936adcc9c7d9f6b952fcc569b.jpg"
"1732794284-66","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-26423-appartement-f4-aux-mamelles.html","Appartement F4 aux Mamelles","90.000.000  FCFA","Mamelles",""
"1732794288-67","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-26480-appartements-neufs-non-loin-du-monument-de-la-renaissance-africaine.html","Appartements neufs non loin du Monument de la Renaissance Africaine","153.000.000  FCFA","Mamelles","media/annonces/pics/6eb43ec813fb2a5ccf04910c23ddaef6.jpg"
"1732794292-68","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-26493-plusieurs-appartements-neufs-a-vendre.html","PLUSIEURS APPARTEMENTS NEUFS A VENDRE","150.000.000  FCFA","Almadies","media/annonces/pics/627033a2a698578aae0c8f635197ce0b.jpg"
"1732794296-69","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-26631-appartement-vendre-libert-6.html","APPARTEMENT À VENDRE LIBERTÉ 6","45.000.000  FCFA","Point E","media/annonces/pics/9c6fefa2bbf2498057f1f5fb7449cfc7.jpg"
"1732794301-70","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-26750-appartement-f4-haut-standing-vendre-virage.html","Appartement F4 haut standing à vendre à Virage","150.000.000  FCFA","Virage","media/annonces/pics/6d262111dc665809ca7c1d81c0c4cd84.jpg"
"1732794305-71","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-28258-appartement-f4.html","Appartement F4","55.000.000  FCFA","Diamniadio","media/annonces/pics/73f2536c48f811a0a80cc5f4ad61b0d1.jpeg"
"1732794309-72","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-28835-appartement-f3-vendre.html","Appartement F3 à vendre","42.000.000  FCFA","Nord Foire","media/annonces/pics/5432d07ec6bf3ebf3fa763c4caaeadc1.jpg"
"1732794312-73","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-28906-appartement-vendre.html","Appartement à vendre","90.000.000  FCFA","Yoff","media/annonces/pics/8e967fb8bbc6b70773cc5f55e2ee5fac.png"
"1732794316-74","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-28907-appartement-a-vendre.html","APPARTEMENT A VENDRE","115.000.000  FCFA","Yoff","media/annonces/pics/69ac9c9ccd3538c31af84dec459c07bf.png"
"1732794320-75","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-29149-appartement-vendre.html","Appartement à vendre","30.000.000  FCFA","Hann Maristes","media/annonces/pics/abc9c3fe58c10ac185d65903a715fdff.jpg"
"1732794324-76","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-29181-appartement-vendre.html","Appartement à vendre","35.000.000  FCFA","Keur Massar","media/annonces/pics/37721493ce260a64c462679b634a3bdf.jpg"
"1732794328-77","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-29207-appartement-a-vendre.html","APPARTEMENT A VENDRE","95.000.000  FCFA","Almadies","media/annonces/pics/9708558da85607c79bc16bc693a62736.jpg"
"1732794331-78","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-29307-appartement-a-vendre.html","APPARTEMENT A VENDRE","150.000.000  FCFA","Almadies",""
"1732794336-79","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-29308-appartement-a-vendre.html","APPARTEMENT A VENDRE","85.000.000  FCFA","Ngor","media/annonces/pics/6a50fa6d330a665e8df7a9d364a18d5d.png"
"1732794339-80","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-29826-appartement-a-vendre.html","APPARTEMENT A VENDRE","149.000.000  FCFA","Almadies","media/annonces/pics/21f046c8cd678a7b08708691b653bc1a.jpeg"
"1732794344-81","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-30730-appartements-neufs-en-face-de-la-sphre-ministrielle.html","Appartements neufs en face de la sphère ministérielle","32.000.000  FCFA","Diamniadio","media/annonces/pics/7cb4d1765d982f1bfc4b4586549a0136.jpeg"
"1732794348-82","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-31531-appartement-vendre-dakar-ngor.html","Appartement à vendre Dakar Ngor","90.000.000  FCFA","Ngor","img/nophoto.png"
"1732794351-83","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-32453-appartement-haut-standing-vue-sur-mer-aquanic.html","Appartement haut standing vue sur mer Aquanic","250.000.000  FCFA","Ngor","media/annonces/pics/bef2e1c0cd7a88162523a638ee002fa6.jpg"
"1732794354-84","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-32856-appartement-vendre.html","Appartement à vendre","40.000.000  FCFA","Diamniadio",""
"1732794358-85","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-33293-appartement-vendre-au-4eme-tage.html","Appartement à vendre au 4eme étage","65.000.000  FCFA","Sipres","media/annonces/pics/3bfe4db247b9eabba10bfbf6c084488a.jpeg"
"1732794361-86","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-33442-un-appartement-vendre-la-cit-mixta.html","Un appartement à vendre à la  cité Mixta","40.000.000  FCFA","Dakar","media/annonces/pics/8d8b0d104d246210b63038de446e39cd.jpg"
"1732794367-87","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-33447-studio-vendre-la-cit-mixta.html","Studio à vendre à la cité Mixta","30.000.000  FCFA","Dakar","media/annonces/pics/89bef569dc088c3e9ebd359fbd866f5b.png"
"1732794370-88","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-33458-appartement-haut-standing-vue-sur-la-vdn.html","Appartement haut standing vue sur la VDN","125.000.000  FCFA","VDN","media/annonces/pics/4dc5b03272a49f3c20eed02d8f969fbc.jpg"
"1732794374-89","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-33583-appartement-vendre.html","Appartement à vendre","167.000.000  FCFA","Biagui","img/nophoto.png"
"1732794378-90","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-33584-appartement-vendre.html","Appartement à vendre","120.000.000  FCFA","Dakar","media/annonces/pics/2f7bd2ad38846f1d009137e5f56648e7.jpg"
"1732794382-91","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=4","","https://www.dakarvente.com/annonce-33918-appartement-f3-au-sd-city-diamniadio.html","APPARTEMENT F3 au SD CITY DIAMNIADIO","29.000.000  FCFA","Diamniadio","media/annonces/pics/f56f72a72ab1dc6dd501c3a329257dfe.jpg"
